2018.12.06 00:00:42.055 | TRC | 0 | 0 | start log
2018.12.06 00:00:42.450 | TRC | 0 | 1 | DB initial count：1
2018.12.06 00:00:44.078 | TRC | 0 | 1 | frmStudentRollcall：frmStudentRollcall_Load
2018.12.06 00:00:52.033 | TRC | 0 | 0 | frmStudentRollcall：btn_ON
2018.12.06 00:02:36.265 | TRC | 0 | 0 | start log
2018.12.06 00:02:36.605 | TRC | 0 | 1 | DB initial count：1
2018.12.06 00:02:38.408 | TRC | 0 | 1 | frmStudentRollcall：frmStudentRollcall_Load
2018.12.06 00:02:56.794 | TRC | 0 | 0 | start log
2018.12.06 00:02:57.212 | TRC | 0 | 1 | DB initial count：1
2018.12.06 00:02:58.522 | TRC | 0 | 1 | frmStudentRollcall：frmStudentRollcall_Load
